id,title,difficulty,free/premium,frequency,tags
636,Exclusive Time of Functions,MEDIUM,free,100.0,"Array, Stack"
13,Roman to Integer,EASY,free,87.4,"Hash Table, Math, String"
412,Fizz Buzz,EASY,free,87.4,"Math, String, Simulation"
121,Best Time to Buy and Sell Stock,EASY,free,86.2,"Array, Dynamic Programming"
12,Integer to Roman,MEDIUM,free,84.9,"Hash Table, Math, String"
1,Two Sum,EASY,free,83.5,"Array, Hash Table"
253,Meeting Rooms II,MEDIUM,premium,82.0,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
2964,Number of Divisible Triplet Sums,MEDIUM,premium,80.4,"Array, Hash Table"
48,Rotate Image,MEDIUM,free,76.9,"Array, Math, Matrix"
453,Minimum Moves to Equal Array Elements,MEDIUM,free,76.9,"Array, Math"
2602,Minimum Operations to Make All Array Elements Equal,MEDIUM,free,76.9,"Array, Binary Search, Sorting, Prefix Sum"
3107,Minimum Operations to Make Median of Array Equal to K,MEDIUM,free,76.9,"Array, Greedy, Sorting"
1355,Activity Participants,MEDIUM,premium,74.9,Database
2562,Find the Array Concatenation Value,EASY,free,74.9,"Array, Two Pointers, Simulation"
2907,Maximum Profitable Triplets With Increasing Prices I,MEDIUM,premium,74.9,"Array, Binary Indexed Tree, Segment Tree"
20,Valid Parentheses,EASY,free,72.8,"String, Stack"
1492,The kth Factor of n,MEDIUM,free,72.8,"Math, Number Theory"
2455,Average Value of Even Numbers That Are Divisible by Three,EASY,free,72.8,"Array, Math"
2545,Sort the Students by Their Kth Score,MEDIUM,free,72.8,"Array, Sorting, Matrix"
2921,Maximum Profitable Triplets With Increasing Prices II,HARD,premium,72.8,"Array, Binary Indexed Tree, Segment Tree"
2972,Count the Number of Incremovable Subarrays II,HARD,free,72.8,"Array, Two Pointers, Binary Search"
3024,Type of Triangle,EASY,free,72.8,"Array, Math, Sorting"
3096,Minimum Levels to Gain More Points,MEDIUM,free,72.8,"Array, Prefix Sum"
3147,Taking Maximum Energy From the Mystic Dungeon,MEDIUM,free,72.8,"Array, Prefix Sum"
3145,Find Products of Elements of Big Array,HARD,free,72.8,"Array, Binary Search, Bit Manipulation"
3175,Find The First Player to win K Games in a Row,MEDIUM,free,72.8,"Array, Simulation"
3159,Find Occurrences of an Element in an Array,MEDIUM,free,72.8,"Array, Hash Table"
3223,Minimum Length of String After Operations,MEDIUM,free,72.8,"Hash Table, String, Counting"
14,Longest Common Prefix,EASY,free,70.4,"String, Trie"
443,String Compression,MEDIUM,free,70.4,"Two Pointers, String"
1710,Maximum Units on a Truck,EASY,free,70.4,"Array, Greedy, Sorting"
1200,Minimum Absolute Difference,EASY,free,67.7,"Array, Sorting"
1208,Get Equal Substrings Within Budget,MEDIUM,free,67.7,"String, Binary Search, Sliding Window, Prefix Sum"
3,Longest Substring Without Repeating Characters,MEDIUM,free,64.6,"Hash Table, String, Sliding Window"
17,Letter Combinations of a Phone Number,MEDIUM,free,64.6,"Hash Table, String, Backtracking"
88,Merge Sorted Array,EASY,free,64.6,"Array, Two Pointers, Sorting"
696,Count Binary Substrings,EASY,free,64.6,"Two Pointers, String"
1012,Numbers With Repeated Digits,HARD,free,64.6,"Math, Dynamic Programming"
1529,Minimum Suffix Flips,MEDIUM,free,64.6,"String, Greedy"
2461,Maximum Sum of Distinct Subarrays With Length K,MEDIUM,free,64.6,"Array, Hash Table, Sliding Window"
2734,Lexicographically Smallest String After Substring Operation,MEDIUM,free,61.1,"String, Greedy"
5,Longest Palindromic Substring,MEDIUM,free,57.0,"Two Pointers, String, Dynamic Programming"
2506,Count Pairs Of Similar Strings,EASY,free,57.0,"Array, Hash Table, String, Bit Manipulation, Counting"
2696,Minimum String Length After Removing Substrings,EASY,free,57.0,"String, Stack, Simulation"
2904,Shortest and Lexicographically Smallest Beautiful String,MEDIUM,free,57.0,"String, Sliding Window"
2950,Number of Divisible Substrings,MEDIUM,premium,57.0,"Hash Table, String, Counting, Prefix Sum"
98,Validate Binary Search Tree,MEDIUM,free,51.9,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
713,Subarray Product Less Than K,MEDIUM,free,51.9,"Array, Binary Search, Sliding Window, Prefix Sum"
2406,Divide Intervals Into Minimum Number of Groups,MEDIUM,free,51.9,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
2433,Find The Original Array of Prefix Xor,MEDIUM,free,51.9,"Array, Bit Manipulation"
2491,Divide Players Into Teams of Equal Skill,MEDIUM,free,51.9,"Array, Hash Table, Two Pointers, Sorting"
2580,Count Ways to Group Overlapping Ranges,MEDIUM,free,51.9,"Array, Sorting"
2598,Smallest Missing Non-negative Integer After Operations,MEDIUM,free,51.9,"Array, Hash Table, Math, Greedy"
4,Median of Two Sorted Arrays,HARD,free,45.5,"Array, Binary Search, Divide and Conquer"
23,Merge k Sorted Lists,HARD,free,45.5,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
28,Find the Index of the First Occurrence in a String,EASY,free,45.5,"Two Pointers, String, String Matching"
42,Trapping Rain Water,HARD,free,45.5,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
53,Maximum Subarray,MEDIUM,free,45.5,"Array, Divide and Conquer, Dynamic Programming"
54,Spiral Matrix,MEDIUM,free,45.5,"Array, Matrix, Simulation"
56,Merge Intervals,MEDIUM,free,45.5,"Array, Sorting"
70,Climbing Stairs,EASY,free,45.5,"Math, Dynamic Programming, Memoization"
128,Longest Consecutive Sequence,MEDIUM,free,45.5,"Array, Hash Table, Union Find"
146,LRU Cache,MEDIUM,free,45.5,"Hash Table, Linked List, Design, Doubly-Linked List"
169,Majority Element,EASY,free,45.5,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
189,Rotate Array,MEDIUM,free,45.5,"Array, Math, Two Pointers"
238,Product of Array Except Self,MEDIUM,free,45.5,"Array, Prefix Sum"
268,Missing Number,EASY,free,45.5,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
300,Longest Increasing Subsequence,MEDIUM,free,45.5,"Array, Binary Search, Dynamic Programming"
349,Intersection of Two Arrays,EASY,free,45.5,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
560,Subarray Sum Equals K,MEDIUM,free,45.5,"Array, Hash Table, Prefix Sum"
832,Flipping an Image,EASY,free,45.5,"Array, Two Pointers, Bit Manipulation, Matrix, Simulation"
844,Backspace String Compare,EASY,free,45.5,"Two Pointers, String, Stack, Simulation"
926,Flip String to Monotone Increasing,MEDIUM,free,45.5,"String, Dynamic Programming"
1319,Number of Operations to Make Network Connected,MEDIUM,free,45.5,"Depth-First Search, Breadth-First Search, Union Find, Graph"
1834,Single-Threaded CPU,MEDIUM,free,45.5,"Array, Sorting, Heap (Priority Queue)"
1974,Minimum Time to Type Word Using Special Typewriter,EASY,free,45.5,"String, Greedy"
2451,Odd String Difference,EASY,free,45.5,"Array, Hash Table, String"
2,Add Two Numbers,MEDIUM,free,36.5,"Linked List, Math, Recursion"
9,Palindrome Number,EASY,free,36.5,Math
15,3Sum,MEDIUM,free,36.5,"Array, Two Pointers, Sorting"
22,Generate Parentheses,MEDIUM,free,36.5,"String, Dynamic Programming, Backtracking"
31,Next Permutation,MEDIUM,free,36.5,"Array, Two Pointers"
49,Group Anagrams,MEDIUM,free,36.5,"Array, Hash Table, String, Sorting"
51,N-Queens,HARD,free,36.5,"Array, Backtracking"
78,Subsets,MEDIUM,free,36.5,"Array, Backtracking, Bit Manipulation"
139,Word Break,MEDIUM,free,36.5,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
153,Find Minimum in Rotated Sorted Array,MEDIUM,free,36.5,"Array, Binary Search"
176,Second Highest Salary,MEDIUM,free,36.5,Database
202,Happy Number,EASY,free,36.5,"Hash Table, Math, Two Pointers"
221,Maximal Square,MEDIUM,free,36.5,"Array, Dynamic Programming, Matrix"
242,Valid Anagram,EASY,free,36.5,"Hash Table, String, Sorting"
259,3Sum Smaller,MEDIUM,premium,36.5,"Array, Two Pointers, Binary Search, Sorting"
287,Find the Duplicate Number,MEDIUM,free,36.5,"Array, Two Pointers, Binary Search, Bit Manipulation"
334,Increasing Triplet Subsequence,MEDIUM,free,36.5,"Array, Greedy"
402,Remove K Digits,MEDIUM,free,36.5,"String, Stack, Greedy, Monotonic Stack"
416,Partition Equal Subset Sum,MEDIUM,free,36.5,"Array, Dynamic Programming"
456,132 Pattern,MEDIUM,free,36.5,"Array, Binary Search, Stack, Monotonic Stack, Ordered Set"
605,Can Place Flowers,EASY,free,36.5,"Array, Greedy"
621,Task Scheduler,MEDIUM,free,36.5,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
697,Degree of an Array,EASY,free,36.5,"Array, Hash Table"
