id,title,difficulty,free/premium,frequency,tags
981,Time Based Key-Value Store,MEDIUM,free,100.0,"Hash Table, String, Binary Search, Design"
2133,Check if Every Row and Column Contains All Numbers,EASY,free,98.1,"Array, Hash Table, Matrix"
34,Find First and Last Position of Element in Sorted Array,MEDIUM,free,70.0,"Array, Binary Search"
44,Wildcard Matching,HARD,free,70.0,"String, Dynamic Programming, Greedy, Recursion"
977,Squares of a Sorted Array,EASY,free,70.0,"Array, Two Pointers, Sorting"
35,Search Insert Position,EASY,free,61.2,"Array, Binary Search"
36,Valid Sudoku,MEDIUM,free,61.2,"Array, Hash Table, Matrix"
50,"Pow(x, n)",MEDIUM,free,61.2,"Math, Recursion"
56,Merge Intervals,MEDIUM,free,61.2,"Array, Sorting"
65,Valid Number,HARD,free,61.2,String
72,Edit Distance,MEDIUM,free,61.2,"String, Dynamic Programming"
121,Best Time to Buy and Sell Stock,EASY,free,61.2,"Array, Dynamic Programming"
122,Best Time to Buy and Sell Stock II,MEDIUM,free,61.2,"Array, Dynamic Programming, Greedy"
146,LRU Cache,MEDIUM,free,61.2,"Hash Table, Linked List, Design, Doubly-Linked List"
212,Word Search II,HARD,free,61.2,"Array, String, Backtracking, Trie, Matrix"
227,Basic Calculator II,MEDIUM,free,61.2,"Math, String, Stack"
290,Word Pattern,EASY,free,61.2,"Hash Table, String"
309,Best Time to Buy and Sell Stock with Cooldown,MEDIUM,free,61.2,"Array, Dynamic Programming"
435,Non-overlapping Intervals,MEDIUM,free,61.2,"Array, Dynamic Programming, Greedy, Sorting"
452,Minimum Number of Arrows to Burst Balloons,MEDIUM,free,61.2,"Array, Greedy, Sorting"
1353,Maximum Number of Events That Can Be Attended,MEDIUM,free,61.2,"Array, Greedy, Sorting, Heap (Priority Queue)"
