id,title,difficulty,free/premium,frequency,tags
210,Course Schedule II,MEDIUM,free,100.0,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
200,Number of Islands,MEDIUM,free,97.8,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
146,LRU Cache,MEDIUM,free,95.4,"Hash Table, Linked List, Design, Doubly-Linked List"
3,Longest Substring Without Repeating Characters,MEDIUM,free,92.8,"Hash Table, String, Sliding Window"
79,Word Search,MEDIUM,free,92.8,"Array, String, Backtracking, Matrix"
300,Longest Increasing Subsequence,MEDIUM,free,92.8,"Array, Binary Search, Dynamic Programming"
56,Merge Intervals,MEDIUM,free,86.8,"Array, Sorting"
5,Longest Palindromic Substring,MEDIUM,free,83.1,"Two Pointers, String, Dynamic Programming"
140,Word Break II,HARD,free,83.1,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
329,Longest Increasing Path in a Matrix,HARD,free,83.1,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
1071,Greatest Common Divisor of Strings,EASY,free,78.9,"Math, String"
33,Search in Rotated Sorted Array,MEDIUM,free,74.0,"Array, Binary Search"
42,Trapping Rain Water,HARD,free,74.0,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
76,Minimum Window Substring,HARD,free,74.0,"Hash Table, String, Sliding Window"
127,Word Ladder,HARD,free,74.0,"Hash Table, String, Breadth-First Search"
253,Meeting Rooms II,MEDIUM,premium,74.0,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
322,Coin Change,MEDIUM,free,74.0,"Array, Dynamic Programming, Breadth-First Search"
394,Decode String,MEDIUM,free,74.0,"String, Stack, Recursion"
694,Number of Distinct Islands,MEDIUM,premium,74.0,"Hash Table, Depth-First Search, Breadth-First Search, Union Find, Hash Function"
528,Random Pick with Weight,MEDIUM,free,74.0,"Array, Math, Binary Search, Prefix Sum, Randomized"
1802,Maximum Value at a Given Index in a Bounded Array,MEDIUM,free,74.0,"Binary Search, Greedy"
2334,Subarray With Elements Greater Than Varying Threshold,HARD,free,74.0,"Array, Stack, Union Find, Monotonic Stack"
15,3Sum,MEDIUM,free,67.9,"Array, Two Pointers, Sorting"
20,Valid Parentheses,EASY,free,67.9,"String, Stack"
23,Merge k Sorted Lists,HARD,free,67.9,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
39,Combination Sum,MEDIUM,free,67.9,"Array, Backtracking"
69,Sqrt(x),EASY,free,67.9,"Math, Binary Search"
128,Longest Consecutive Sequence,MEDIUM,free,67.9,"Array, Hash Table, Union Find"
143,Reorder List,MEDIUM,free,67.9,"Linked List, Two Pointers, Stack, Recursion"
153,Find Minimum in Rotated Sorted Array,MEDIUM,free,67.9,"Array, Binary Search"
198,House Robber,MEDIUM,free,67.9,"Array, Dynamic Programming"
380,Insert Delete GetRandom O(1),MEDIUM,free,67.9,"Array, Hash Table, Math, Design, Randomized"
473,Matchsticks to Square,MEDIUM,free,67.9,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
1151,Minimum Swaps to Group All 1's Together,MEDIUM,premium,67.9,"Array, Sliding Window"
2422,Merge Operations to Turn Array Into a Palindrome,MEDIUM,premium,67.9,"Array, Two Pointers, Greedy"
1,Two Sum,EASY,free,60.2,"Array, Hash Table"
31,Next Permutation,MEDIUM,free,60.2,"Array, Two Pointers"
46,Permutations,MEDIUM,free,60.2,"Array, Backtracking"
75,Sort Colors,MEDIUM,free,60.2,"Array, Two Pointers, Sorting"
121,Best Time to Buy and Sell Stock,EASY,free,60.2,"Array, Dynamic Programming"
209,Minimum Size Subarray Sum,MEDIUM,free,60.2,"Array, Binary Search, Sliding Window, Prefix Sum"
239,Sliding Window Maximum,HARD,free,60.2,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
252,Meeting Rooms,EASY,premium,60.2,"Array, Sorting"
283,Move Zeroes,EASY,free,60.2,"Array, Two Pointers"
295,Find Median from Data Stream,HARD,free,60.2,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
297,Serialize and Deserialize Binary Tree,HARD,free,60.2,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
347,Top K Frequent Elements,MEDIUM,free,60.2,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
348,Design Tic-Tac-Toe,MEDIUM,premium,60.2,"Array, Hash Table, Design, Matrix, Simulation"
365,Water and Jug Problem,MEDIUM,free,60.2,"Math, Depth-First Search, Breadth-First Search"
395,Longest Substring with At Least K Repeating Characters,MEDIUM,free,60.2,"Hash Table, String, Divide and Conquer, Sliding Window"
415,Add Strings,EASY,free,60.2,"Math, String, Simulation"
648,Replace Words,MEDIUM,free,60.2,"Array, Hash Table, String, Trie"
735,Asteroid Collision,MEDIUM,free,60.2,"Array, Stack, Simulation"
767,Reorganize String,MEDIUM,free,60.2,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
1011,Capacity To Ship Packages Within D Days,MEDIUM,free,60.2,"Array, Binary Search"
1813,Sentence Similarity III,MEDIUM,free,60.2,"Array, Two Pointers, String"
10,Regular Expression Matching,HARD,free,49.3,"String, Dynamic Programming, Recursion"
14,Longest Common Prefix,EASY,free,49.3,"String, Trie"
24,Swap Nodes in Pairs,MEDIUM,free,49.3,"Linked List, Recursion"
34,Find First and Last Position of Element in Sorted Array,MEDIUM,free,49.3,"Array, Binary Search"
45,Jump Game II,MEDIUM,free,49.3,"Array, Dynamic Programming, Greedy"
49,Group Anagrams,MEDIUM,free,49.3,"Array, Hash Table, String, Sorting"
53,Maximum Subarray,MEDIUM,free,49.3,"Array, Divide and Conquer, Dynamic Programming"
54,Spiral Matrix,MEDIUM,free,49.3,"Array, Matrix, Simulation"
64,Minimum Path Sum,MEDIUM,free,49.3,"Array, Dynamic Programming, Matrix"
70,Climbing Stairs,EASY,free,49.3,"Math, Dynamic Programming, Memoization"
122,Best Time to Buy and Sell Stock II,MEDIUM,free,49.3,"Array, Dynamic Programming, Greedy"
124,Binary Tree Maximum Path Sum,HARD,free,49.3,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
134,Gas Station,MEDIUM,free,49.3,"Array, Greedy"
135,Candy,HARD,free,49.3,"Array, Greedy"
139,Word Break,MEDIUM,free,49.3,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
162,Find Peak Element,MEDIUM,free,49.3,"Array, Binary Search"
188,Best Time to Buy and Sell Stock IV,HARD,free,49.3,"Array, Dynamic Programming"
207,Course Schedule,MEDIUM,free,49.3,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
212,Word Search II,HARD,free,49.3,"Array, String, Backtracking, Trie, Matrix"
215,Kth Largest Element in an Array,MEDIUM,free,49.3,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
221,Maximal Square,MEDIUM,free,49.3,"Array, Dynamic Programming, Matrix"
236,Lowest Common Ancestor of a Binary Tree,MEDIUM,free,49.3,"Tree, Depth-First Search, Binary Tree"
261,Graph Valid Tree,MEDIUM,premium,49.3,"Depth-First Search, Breadth-First Search, Union Find, Graph"
277,Find the Celebrity,MEDIUM,premium,49.3,"Two Pointers, Graph, Interactive"
337,House Robber III,MEDIUM,free,49.3,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
377,Combination Sum IV,MEDIUM,free,49.3,"Array, Dynamic Programming"
378,Kth Smallest Element in a Sorted Matrix,MEDIUM,free,49.3,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix"
442,Find All Duplicates in an Array,MEDIUM,free,49.3,"Array, Hash Table"
445,Add Two Numbers II,MEDIUM,free,49.3,"Linked List, Math, Stack"
543,Diameter of Binary Tree,EASY,free,49.3,"Tree, Depth-First Search, Binary Tree"
567,Permutation in String,MEDIUM,free,49.3,"Hash Table, Two Pointers, String, Sliding Window"
588,Design In-Memory File System,HARD,premium,49.3,"Hash Table, String, Design, Trie, Sorting"
628,Maximum Product of Three Numbers,EASY,free,49.3,"Array, Math, Sorting"
642,Design Search Autocomplete System,HARD,premium,49.3,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream"
650,2 Keys Keyboard,MEDIUM,free,49.3,"Math, Dynamic Programming"
680,Valid Palindrome II,EASY,free,49.3,"Two Pointers, String, Greedy"
695,Max Area of Island,MEDIUM,free,49.3,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
716,Max Stack,HARD,premium,49.3,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
729,My Calendar I,MEDIUM,free,49.3,"Array, Binary Search, Design, Segment Tree, Ordered Set"
752,Open the Lock,MEDIUM,free,49.3,"Array, Hash Table, String, Breadth-First Search"
772,Basic Calculator III,HARD,premium,49.3,"Math, String, Stack, Recursion"
785,Is Graph Bipartite?,MEDIUM,free,49.3,"Depth-First Search, Breadth-First Search, Union Find, Graph"
706,Design HashMap,EASY,free,49.3,"Array, Hash Table, Linked List, Design, Hash Function"
815,Bus Routes,HARD,free,49.3,"Array, Hash Table, Breadth-First Search"
