id,title,difficulty,free/premium,frequency,tags
1,Two Sum,EASY,free,100.0,"Array, Hash Table"
88,Merge Sorted Array,EASY,free,80.2,"Array, Two Pointers, Sorting"
146,LRU Cache,MEDIUM,free,76.9,"Hash Table, Linked List, Design, Doubly-Linked List"
1768,Merge Strings Alternately,EASY,free,75.7,"Two Pointers, String"
3,Longest Substring Without Repeating Characters,MEDIUM,free,73.0,"Hash Table, String, Sliding Window"
2,Add Two Numbers,MEDIUM,free,71.5,"Linked List, Math, Recursion"
42,Trapping Rain Water,HARD,free,71.5,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
200,Number of Islands,MEDIUM,free,69.9,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
5,Longest Palindromic Substring,MEDIUM,free,68.2,"Two Pointers, String, Dynamic Programming"
121,Best Time to Buy and Sell Stock,EASY,free,68.2,"Array, Dynamic Programming"
198,House Robber,MEDIUM,free,66.4,"Array, Dynamic Programming"
49,Group Anagrams,MEDIUM,free,64.3,"Array, Hash Table, String, Sorting"
253,Meeting Rooms II,MEDIUM,premium,64.3,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
41,First Missing Positive,HARD,free,62.1,"Array, Hash Table"
169,Majority Element,EASY,free,62.1,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
2667,Create Hello World Function,EASY,free,62.1,
11,Container With Most Water,MEDIUM,free,59.6,"Array, Two Pointers, Greedy"
20,Valid Parentheses,EASY,free,59.6,"String, Stack"
56,Merge Intervals,MEDIUM,free,59.6,"Array, Sorting"
347,Top K Frequent Elements,MEDIUM,free,59.6,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
4,Median of Two Sorted Arrays,HARD,free,56.7,"Array, Binary Search, Divide and Conquer"
27,Remove Element,EASY,free,56.7,"Array, Two Pointers"
33,Search in Rotated Sorted Array,MEDIUM,free,56.7,"Array, Binary Search"
50,"Pow(x, n)",MEDIUM,free,56.7,"Math, Recursion"
1757,Recyclable and Low Fat Products,EASY,free,56.7,Database
14,Longest Common Prefix,EASY,free,53.4,"String, Trie"
17,Letter Combinations of a Phone Number,MEDIUM,free,53.4,"Hash Table, String, Backtracking"
