id,title,difficulty,free/premium,frequency,tags
3046,Split the Array,EASY,free,100.0,"Array, Hash Table, Counting"
1,Two Sum,EASY,free,97.7,"Array, Hash Table"
1353,Maximum Number of Events That Can Be Attended,MEDIUM,free,97.7,"Array, Greedy, Sorting, Heap (Priority Queue)"
1389,Create Target Array in the Given Order,EASY,free,97.7,"Array, Simulation"
1025,Divisor Game,EASY,free,95.2,"Math, Dynamic Programming, Brainteaser, Game Theory"
2049,Count Nodes With the Highest Score,MEDIUM,free,95.2,"Array, Tree, Depth-First Search, Binary Tree"
2078,Two Furthest Houses With Different Colors,EASY,free,95.2,"Array, Greedy"
2136,Earliest Possible Day of Full Bloom,HARD,free,95.2,"Array, Greedy, Sorting"
2451,Odd String Difference,EASY,free,95.2,"Array, Hash Table, String"
3078,Match Alphanumerical Pattern in Matrix I,MEDIUM,premium,95.2,"Array, Hash Table, String, Matrix"
33,Search in Rotated Sorted Array,MEDIUM,free,92.4,"Array, Binary Search"
14,Longest Common Prefix,EASY,free,81.8,"String, Trie"
49,Group Anagrams,MEDIUM,free,81.8,"Array, Hash Table, String, Sorting"
121,Best Time to Buy and Sell Stock,EASY,free,81.8,"Array, Dynamic Programming"
68,Text Justification,HARD,free,77.0,"Array, String, Simulation"
3,Longest Substring Without Repeating Characters,MEDIUM,free,71.1,"Hash Table, String, Sliding Window"
15,3Sum,MEDIUM,free,71.1,"Array, Two Pointers, Sorting"
42,Trapping Rain Water,HARD,free,71.1,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
53,Maximum Subarray,MEDIUM,free,71.1,"Array, Divide and Conquer, Dynamic Programming"
5,Longest Palindromic Substring,MEDIUM,free,63.6,"Two Pointers, String, Dynamic Programming"
66,Plus One,EASY,free,63.6,"Array, Math"
74,Search a 2D Matrix,MEDIUM,free,63.6,"Array, Binary Search, Matrix"
151,Reverse Words in a String,MEDIUM,free,63.6,"Two Pointers, String"
207,Course Schedule,MEDIUM,free,63.6,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
286,Walls and Gates,MEDIUM,premium,63.6,"Array, Breadth-First Search, Matrix"
739,Daily Temperatures,MEDIUM,free,63.6,"Array, Stack, Monotonic Stack"
796,Rotate String,EASY,free,63.6,"String, String Matching"
1861,Rotating the Box,MEDIUM,free,63.6,"Array, Two Pointers, Matrix"
2,Add Two Numbers,MEDIUM,free,53.0,"Linked List, Math, Recursion"
4,Median of Two Sorted Arrays,HARD,free,53.0,"Array, Binary Search, Divide and Conquer"
11,Container With Most Water,MEDIUM,free,53.0,"Array, Two Pointers, Greedy"
13,Roman to Integer,EASY,free,53.0,"Hash Table, Math, String"
20,Valid Parentheses,EASY,free,53.0,"String, Stack"
21,Merge Two Sorted Lists,EASY,free,53.0,"Linked List, Recursion"
22,Generate Parentheses,MEDIUM,free,53.0,"String, Dynamic Programming, Backtracking"
25,Reverse Nodes in k-Group,HARD,free,53.0,"Linked List, Recursion"
32,Longest Valid Parentheses,HARD,free,53.0,"String, Dynamic Programming, Stack"
54,Spiral Matrix,MEDIUM,free,53.0,"Array, Matrix, Simulation"
79,Word Search,MEDIUM,free,53.0,"Array, String, Backtracking, Matrix"
146,LRU Cache,MEDIUM,free,53.0,"Hash Table, Linked List, Design, Doubly-Linked List"
179,Largest Number,MEDIUM,free,53.0,"Array, String, Greedy, Sorting"
214,Shortest Palindrome,HARD,free,53.0,"String, Rolling Hash, String Matching, Hash Function"
238,Product of Array Except Self,MEDIUM,free,53.0,"Array, Prefix Sum"
309,Best Time to Buy and Sell Stock with Cooldown,MEDIUM,free,53.0,"Array, Dynamic Programming"
468,Validate IP Address,MEDIUM,free,53.0,String
543,Diameter of Binary Tree,EASY,free,53.0,"Tree, Depth-First Search, Binary Tree"
560,Subarray Sum Equals K,MEDIUM,free,53.0,"Array, Hash Table, Prefix Sum"
661,Image Smoother,EASY,free,53.0,"Array, Matrix"
829,Consecutive Numbers Sum,HARD,free,53.0,"Math, Enumeration"
931,Minimum Falling Path Sum,MEDIUM,free,53.0,"Array, Dynamic Programming, Matrix"
968,Binary Tree Cameras,HARD,free,53.0,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
1046,Last Stone Weight,EASY,free,53.0,"Array, Heap (Priority Queue)"
1497,Check If Array Pairs Are Divisible by k,MEDIUM,free,53.0,"Array, Hash Table, Counting"
1606,Find Servers That Handled Most Number of Requests,HARD,free,53.0,"Array, Greedy, Heap (Priority Queue), Ordered Set"
2023,Number of Pairs of Strings With Concatenation Equal to Target,MEDIUM,free,53.0,"Array, Hash Table, String, Counting"
2187,Minimum Time to Complete Trips,MEDIUM,free,53.0,"Array, Binary Search"
2468,Split Message Based on Limit,HARD,free,53.0,"String, Binary Search"
2593,Find Score of an Array After Marking All Elements,MEDIUM,free,53.0,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
