id,title,difficulty,free/premium,frequency,tags
200,Number of Islands,MEDIUM,free,100.0,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
1,Two Sum,EASY,free,90.8,"Array, Hash Table"
146,LRU Cache,MEDIUM,free,87.4,"Hash Table, Linked List, Design, Doubly-Linked List"
49,Group Anagrams,MEDIUM,free,85.5,"Array, Hash Table, String, Sorting"
14,Longest Common Prefix,EASY,free,81.1,"String, Trie"
56,Merge Intervals,MEDIUM,free,81.1,"Array, Sorting"
3,Longest Substring Without Repeating Characters,MEDIUM,free,78.6,"Hash Table, String, Sliding Window"
20,Valid Parentheses,EASY,free,78.6,"String, Stack"
151,Reverse Words in a String,MEDIUM,free,72.6,"Two Pointers, String"
190,Reverse Bits,EASY,free,72.6,"Divide and Conquer, Bit Manipulation"
191,Number of 1 Bits,EASY,free,72.6,"Divide and Conquer, Bit Manipulation"
207,Course Schedule,MEDIUM,free,72.6,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
1275,Find Winner on a Tic Tac Toe Game,EASY,free,72.6,"Array, Hash Table, Matrix, Simulation"
36,Valid Sudoku,MEDIUM,free,68.9,"Array, Hash Table, Matrix"
189,Rotate Array,MEDIUM,free,68.9,"Array, Math, Two Pointers"
7,Reverse Integer,MEDIUM,free,64.6,Math
33,Search in Rotated Sorted Array,MEDIUM,free,64.6,"Array, Binary Search"
48,Rotate Image,MEDIUM,free,64.6,"Array, Math, Matrix"
53,Maximum Subarray,MEDIUM,free,64.6,"Array, Divide and Conquer, Dynamic Programming"
97,Interleaving String,MEDIUM,free,64.6,"String, Dynamic Programming"
121,Best Time to Buy and Sell Stock,EASY,free,64.6,"Array, Dynamic Programming"
236,Lowest Common Ancestor of a Binary Tree,MEDIUM,free,64.6,"Tree, Depth-First Search, Binary Tree"
238,Product of Array Except Self,MEDIUM,free,64.6,"Array, Prefix Sum"
10,Regular Expression Matching,HARD,free,59.3,"String, Dynamic Programming, Recursion"
42,Trapping Rain Water,HARD,free,59.3,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
55,Jump Game,MEDIUM,free,59.3,"Array, Dynamic Programming, Greedy"
71,Simplify Path,MEDIUM,free,59.3,"String, Stack"
118,Pascal's Triangle,EASY,free,59.3,"Array, Dynamic Programming"
153,Find Minimum in Rotated Sorted Array,MEDIUM,free,59.3,"Array, Binary Search"
165,Compare Version Numbers,MEDIUM,free,59.3,"Two Pointers, String"
167,Two Sum II - Input Array Is Sorted,MEDIUM,free,59.3,"Array, Two Pointers, Binary Search"
239,Sliding Window Maximum,HARD,free,59.3,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
242,Valid Anagram,EASY,free,59.3,"Hash Table, String, Sorting"
283,Move Zeroes,EASY,free,59.3,"Array, Two Pointers"
443,String Compression,MEDIUM,free,59.3,"Two Pointers, String"
680,Valid Palindrome II,EASY,free,59.3,"Two Pointers, String, Greedy"
