id,title,difficulty,free/premium,frequency,tags
815,Bus Routes,HARD,free,100.0,"Array, Hash Table, Breadth-First Search"
200,Number of Islands,MEDIUM,free,85.8,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,MEDIUM,free,85.8,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
212,Word Search II,HARD,free,80.8,"Array, String, Backtracking, Trie, Matrix"
269,Alien Dictionary,HARD,premium,79.4,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
564,Find the Closest Palindrome,HARD,free,77.9,"Math, String"
68,Text Justification,HARD,free,74.5,"Array, String, Simulation"
146,LRU Cache,MEDIUM,free,74.5,"Hash Table, Linked List, Design, Doubly-Linked List"
230,Kth Smallest Element in a BST,MEDIUM,free,74.5,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
380,Insert Delete GetRandom O(1),MEDIUM,free,72.6,"Array, Hash Table, Math, Design, Randomized"
2468,Split Message Based on Limit,HARD,free,72.6,"String, Binary Search"
528,Random Pick with Weight,MEDIUM,free,70.4,"Array, Math, Binary Search, Prefix Sum, Randomized"
977,Squares of a Sorted Array,EASY,free,70.4,"Array, Two Pointers, Sorting"
3027,Find the Number of Ways to Place People II,HARD,free,70.4,"Array, Math, Geometry, Sorting, Enumeration"
3341,Find Minimum Time to Reach Last Room I,MEDIUM,free,70.4,"Array, Graph, Heap (Priority Queue), Matrix, Shortest Path"
3342,Find Minimum Time to Reach Last Room II,MEDIUM,free,70.4,"Array, Graph, Heap (Priority Queue), Matrix, Shortest Path"
3071,Minimum Operations to Write the Letter Y on a Grid,MEDIUM,free,68.1,"Array, Hash Table, Matrix, Counting"
305,Number of Islands II,HARD,premium,65.5,"Array, Hash Table, Union Find"
362,Design Hit Counter,MEDIUM,premium,65.5,"Array, Binary Search, Design, Queue, Data Stream"
692,Top K Frequent Words,MEDIUM,free,65.5,"Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
934,Shortest Bridge,MEDIUM,free,65.5,"Array, Depth-First Search, Breadth-First Search, Matrix"
2493,Divide Nodes Into the Maximum Number of Groups,HARD,free,65.5,"Breadth-First Search, Union Find, Graph"
79,Word Search,MEDIUM,free,62.6,"Array, String, Backtracking, Matrix"
427,Construct Quad Tree,MEDIUM,free,62.6,"Array, Divide and Conquer, Tree, Matrix"
875,Koko Eating Bananas,MEDIUM,free,62.6,"Array, Binary Search"
347,Top K Frequent Elements,MEDIUM,free,59.2,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
399,Evaluate Division,MEDIUM,free,59.2,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
1428,Leftmost Column with at Least a One,MEDIUM,premium,59.2,"Array, Binary Search, Matrix, Interactive"
17,Letter Combinations of a Phone Number,MEDIUM,free,55.1,"Hash Table, String, Backtracking"
36,Valid Sudoku,MEDIUM,free,55.1,"Array, Hash Table, Matrix"
224,Basic Calculator,HARD,free,55.1,"Math, String, Stack, Recursion"
253,Meeting Rooms II,MEDIUM,premium,55.1,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
384,Shuffle an Array,MEDIUM,free,55.1,"Array, Math, Design, Randomized"
974,Subarray Sums Divisible by K,MEDIUM,free,55.1,"Array, Hash Table, Prefix Sum"
983,Minimum Cost For Tickets,MEDIUM,free,55.1,"Array, Dynamic Programming"
2508,Add Edges to Make Degrees of All Nodes Even,HARD,free,55.1,"Hash Table, Graph"
3043,Find the Length of the Longest Common Prefix,MEDIUM,free,55.1,"Array, Hash Table, String, Trie"
3161,Block Placement Queries,HARD,free,55.1,"Array, Binary Search, Binary Indexed Tree, Segment Tree"
1,Two Sum,EASY,free,50.2,"Array, Hash Table"
33,Search in Rotated Sorted Array,MEDIUM,free,50.2,"Array, Binary Search"
49,Group Anagrams,MEDIUM,free,50.2,"Array, Hash Table, String, Sorting"
91,Decode Ways,MEDIUM,free,50.2,"String, Dynamic Programming"
121,Best Time to Buy and Sell Stock,EASY,free,50.2,"Array, Dynamic Programming"
162,Find Peak Element,MEDIUM,free,50.2,"Array, Binary Search"
198,House Robber,MEDIUM,free,50.2,"Array, Dynamic Programming"
199,Binary Tree Right Side View,MEDIUM,free,50.2,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
207,Course Schedule,MEDIUM,free,50.2,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
210,Course Schedule II,MEDIUM,free,50.2,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
218,The Skyline Problem,HARD,free,50.2,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
424,Longest Repeating Character Replacement,MEDIUM,free,50.2,"Hash Table, String, Sliding Window"
432,All O`one Data Structure,HARD,free,50.2,"Hash Table, Linked List, Design, Doubly-Linked List"
729,My Calendar I,MEDIUM,free,50.2,"Array, Binary Search, Design, Segment Tree, Ordered Set"
986,Interval List Intersections,MEDIUM,free,50.2,"Array, Two Pointers"
2009,Minimum Number of Operations to Make Array Continuous,HARD,free,50.2,"Array, Hash Table, Binary Search, Sliding Window"
2537,Count the Number of Good Subarrays,MEDIUM,free,50.2,"Array, Hash Table, Sliding Window"
13,Roman to Integer,EASY,free,44.0,"Hash Table, Math, String"
23,Merge k Sorted Lists,HARD,free,44.0,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
42,Trapping Rain Water,HARD,free,44.0,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
53,Maximum Subarray,MEDIUM,free,44.0,"Array, Divide and Conquer, Dynamic Programming"
54,Spiral Matrix,MEDIUM,free,44.0,"Array, Matrix, Simulation"
76,Minimum Window Substring,HARD,free,44.0,"Hash Table, String, Sliding Window"
125,Valid Palindrome,EASY,free,44.0,"Two Pointers, String"
128,Longest Consecutive Sequence,MEDIUM,free,44.0,"Array, Hash Table, Union Find"
139,Word Break,MEDIUM,free,44.0,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
171,Excel Sheet Column Number,EASY,free,44.0,"Math, String"
238,Product of Array Except Self,MEDIUM,free,44.0,"Array, Prefix Sum"
242,Valid Anagram,EASY,free,44.0,"Hash Table, String, Sorting"
286,Walls and Gates,MEDIUM,premium,44.0,"Array, Breadth-First Search, Matrix"
295,Find Median from Data Stream,HARD,free,44.0,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
297,Serialize and Deserialize Binary Tree,HARD,free,44.0,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
329,Longest Increasing Path in a Matrix,HARD,free,44.0,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
330,Patching Array,HARD,free,44.0,"Array, Greedy"
465,Optimal Account Balancing,HARD,premium,44.0,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
535,Encode and Decode TinyURL,MEDIUM,free,44.0,"Hash Table, String, Design, Hash Function"
588,Design In-Memory File System,HARD,premium,44.0,"Hash Table, String, Design, Trie, Sorting"
773,Sliding Puzzle,HARD,free,44.0,"Array, Dynamic Programming, Backtracking, Breadth-First Search, Memoization, Matrix"
994,Rotting Oranges,MEDIUM,free,44.0,"Array, Breadth-First Search, Matrix"
1202,Smallest String With Swaps,MEDIUM,free,44.0,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
2115,Find All Possible Recipes from Given Supplies,MEDIUM,free,44.0,"Array, Hash Table, String, Graph, Topological Sort"
2187,Minimum Time to Complete Trips,MEDIUM,free,44.0,"Array, Binary Search"
2444,Count Subarrays With Fixed Bounds,HARD,free,44.0,"Array, Queue, Sliding Window, Monotonic Queue"
7,Reverse Integer,MEDIUM,free,35.2,Math
8,String to Integer (atoi),MEDIUM,free,35.2,String
10,Regular Expression Matching,HARD,free,35.2,"String, Dynamic Programming, Recursion"
22,Generate Parentheses,MEDIUM,free,35.2,"String, Dynamic Programming, Backtracking"
24,Swap Nodes in Pairs,MEDIUM,free,35.2,"Linked List, Recursion"
27,Remove Element,EASY,free,35.2,"Array, Two Pointers"
34,Find First and Last Position of Element in Sorted Array,MEDIUM,free,35.2,"Array, Binary Search"
37,Sudoku Solver,HARD,free,35.2,"Array, Hash Table, Backtracking, Matrix"
39,Combination Sum,MEDIUM,free,35.2,"Array, Backtracking"
48,Rotate Image,MEDIUM,free,35.2,"Array, Math, Matrix"
64,Minimum Path Sum,MEDIUM,free,35.2,"Array, Dynamic Programming, Matrix"
70,Climbing Stairs,EASY,free,35.2,"Math, Dynamic Programming, Memoization"
78,Subsets,MEDIUM,free,35.2,"Array, Backtracking, Bit Manipulation"
104,Maximum Depth of Binary Tree,EASY,free,35.2,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
126,Word Ladder II,HARD,free,35.2,"Hash Table, String, Backtracking, Breadth-First Search"
127,Word Ladder,HARD,free,35.2,"Hash Table, String, Breadth-First Search"
133,Clone Graph,MEDIUM,free,35.2,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
138,Copy List with Random Pointer,MEDIUM,free,35.2,"Hash Table, Linked List"
140,Word Break II,HARD,free,35.2,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
