id,title,difficulty,free/premium,frequency,tags
38,Count and Say,MEDIUM,free,100.0,String
1293,Shortest Path in a Grid with Obstacles Elimination,HARD,free,91.9,"Array, Breadth-First Search, Matrix"
1235,Maximum Profit in Job Scheduling,HARD,free,89.2,"Array, Binary Search, Dynamic Programming, Sorting"
2302,Count Subarrays With Score Less Than K,HARD,free,86.1,"Array, Binary Search, Sliding Window, Prefix Sum"
465,Optimal Account Balancing,HARD,premium,78.7,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
295,Find Median from Data Stream,HARD,free,76.6,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
1055,Shortest Way to Form String,MEDIUM,premium,76.6,"Two Pointers, String, Binary Search, Greedy"
332,Reconstruct Itinerary,HARD,free,74.2,"Depth-First Search, Graph, Eulerian Circuit"
392,Is Subsequence,EASY,free,74.2,"Two Pointers, String, Dynamic Programming"
767,Reorganize String,MEDIUM,free,74.2,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
282,Expression Add Operators,HARD,free,71.5,"Math, String, Backtracking"
720,Longest Word in Dictionary,MEDIUM,free,69.9,"Array, Hash Table, String, Trie, Sorting"
1306,Jump Game III,MEDIUM,free,69.9,"Array, Depth-First Search, Breadth-First Search"
719,Find K-th Smallest Pair Distance,HARD,free,68.3,"Array, Two Pointers, Binary Search, Sorting"
571,Find Median Given Frequency of Numbers,HARD,premium,66.5,Database
642,Design Search Autocomplete System,HARD,premium,66.5,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream"
311,Sparse Matrix Multiplication,MEDIUM,premium,59.7,"Array, Hash Table, Matrix"
443,String Compression,MEDIUM,free,59.7,"Two Pointers, String"
980,Unique Paths III,HARD,free,59.7,"Array, Backtracking, Bit Manipulation, Matrix"
63,Unique Paths II,MEDIUM,free,56.7,"Array, Dynamic Programming, Matrix"
322,Coin Change,MEDIUM,free,53.3,"Array, Dynamic Programming, Breadth-First Search"
759,Employee Free Time,HARD,premium,49.0,"Array, Sorting, Heap (Priority Queue)"
785,Is Graph Bipartite?,MEDIUM,free,49.0,"Depth-First Search, Breadth-First Search, Union Find, Graph"
1996,The Number of Weak Characters in the Game,MEDIUM,free,49.0,"Array, Stack, Greedy, Sorting, Monotonic Stack"
2232,Minimize Result by Adding Parentheses to Expression,MEDIUM,free,49.0,"String, Enumeration"
17,Letter Combinations of a Phone Number,MEDIUM,free,43.6,"Hash Table, String, Backtracking"
208,Implement Trie (Prefix Tree),MEDIUM,free,43.6,"Hash Table, String, Design, Trie"
253,Meeting Rooms II,MEDIUM,premium,43.6,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
347,Top K Frequent Elements,MEDIUM,free,43.6,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
540,Single Element in a Sorted Array,MEDIUM,free,43.6,"Array, Binary Search"
815,Bus Routes,HARD,free,43.6,"Array, Hash Table, Breadth-First Search"
886,Possible Bipartition,MEDIUM,free,43.6,"Depth-First Search, Breadth-First Search, Union Find, Graph"
2402,Meeting Rooms III,HARD,free,43.6,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
1,Two Sum,EASY,free,36.0,"Array, Hash Table"
34,Find First and Last Position of Element in Sorted Array,MEDIUM,free,36.0,"Array, Binary Search"
37,Sudoku Solver,HARD,free,36.0,"Array, Hash Table, Backtracking, Matrix"
43,Multiply Strings,MEDIUM,free,36.0,"Math, String, Simulation"
56,Merge Intervals,MEDIUM,free,36.0,"Array, Sorting"
200,Number of Islands,MEDIUM,free,36.0,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
277,Find the Celebrity,MEDIUM,premium,36.0,"Two Pointers, Graph, Interactive"
383,Ransom Note,EASY,free,36.0,"Hash Table, String, Counting"
490,The Maze,MEDIUM,premium,36.0,"Array, Depth-First Search, Breadth-First Search, Matrix"
632,Smallest Range Covering Elements from K Lists,HARD,free,36.0,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
864,Shortest Path to Get All Keys,HARD,free,36.0,"Array, Bit Manipulation, Breadth-First Search, Matrix"
909,Snakes and Ladders,MEDIUM,free,36.0,"Array, Breadth-First Search, Matrix"
