id,title,difficulty,free/premium,frequency,tags
716,Max Stack,HARD,premium,100.0,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
364,Nested List Weight Sum II,MEDIUM,premium,90.4,"Stack, Depth-First Search, Breadth-First Search"
432,All O`one Data Structure,HARD,free,88.6,"Hash Table, Linked List, Design, Doubly-Linked List"
152,Maximum Product Subarray,MEDIUM,free,77.6,"Array, Dynamic Programming"
277,Find the Celebrity,MEDIUM,premium,75.9,"Two Pointers, Graph, Interactive"
366,Find Leaves of Binary Tree,MEDIUM,premium,75.9,"Tree, Depth-First Search, Binary Tree"
34,Find First and Last Position of Element in Sorted Array,MEDIUM,free,74.1,"Array, Binary Search"
20,Valid Parentheses,EASY,free,72.1,"String, Stack"
53,Maximum Subarray,MEDIUM,free,69.9,"Array, Divide and Conquer, Dynamic Programming"
244,Shortest Word Distance II,MEDIUM,premium,69.9,"Array, Hash Table, Two Pointers, String, Design"
1004,Max Consecutive Ones III,MEDIUM,free,69.9,"Array, Binary Search, Sliding Window, Prefix Sum"
127,Word Ladder,HARD,free,67.5,"Hash Table, String, Breadth-First Search"
156,Binary Tree Upside Down,MEDIUM,premium,67.5,"Tree, Depth-First Search, Binary Tree"
235,Lowest Common Ancestor of a Binary Search Tree,MEDIUM,free,67.5,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
254,Factor Combinations,MEDIUM,premium,64.7,Backtracking
1650,Lowest Common Ancestor of a Binary Tree III,MEDIUM,premium,64.7,"Hash Table, Two Pointers, Tree, Binary Tree"
698,Partition to K Equal Sum Subsets,MEDIUM,free,61.5,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
46,Permutations,MEDIUM,free,57.7,"Array, Backtracking"
205,Isomorphic Strings,EASY,free,57.7,"Hash Table, String"
243,Shortest Word Distance,EASY,premium,57.7,"Array, String"
367,Valid Perfect Square,EASY,free,57.7,"Math, Binary Search"
380,Insert Delete GetRandom O(1),MEDIUM,free,57.7,"Array, Hash Table, Math, Design, Randomized"
1117,Building H2O,MEDIUM,free,57.7,Concurrency
17,Letter Combinations of a Phone Number,MEDIUM,free,53.0,"Hash Table, String, Backtracking"
47,Permutations II,MEDIUM,free,53.0,"Array, Backtracking"
76,Minimum Window Substring,HARD,free,53.0,"Hash Table, String, Sliding Window"
101,Symmetric Tree,EASY,free,53.0,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
146,LRU Cache,MEDIUM,free,53.0,"Hash Table, Linked List, Design, Doubly-Linked List"
200,Number of Islands,MEDIUM,free,53.0,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
236,Lowest Common Ancestor of a Binary Tree,MEDIUM,free,53.0,"Tree, Depth-First Search, Binary Tree"
339,Nested List Weight Sum,MEDIUM,premium,53.0,"Depth-First Search, Breadth-First Search"
360,Sort Transformed Array,MEDIUM,premium,53.0,"Array, Math, Two Pointers, Sorting"
605,Can Place Flowers,EASY,free,53.0,"Array, Greedy"
21,Merge Two Sorted Lists,EASY,free,47.1,"Linked List, Recursion"
23,Merge k Sorted Lists,HARD,free,47.1,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
33,Search in Rotated Sorted Array,MEDIUM,free,47.1,"Array, Binary Search"
36,Valid Sudoku,MEDIUM,free,47.1,"Array, Hash Table, Matrix"
50,"Pow(x, n)",MEDIUM,free,47.1,"Math, Recursion"
56,Merge Intervals,MEDIUM,free,47.1,"Array, Sorting"
102,Binary Tree Level Order Traversal,MEDIUM,free,47.1,"Tree, Breadth-First Search, Binary Tree"
104,Maximum Depth of Binary Tree,EASY,free,47.1,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
149,Max Points on a Line,HARD,free,47.1,"Array, Hash Table, Math, Geometry"
150,Evaluate Reverse Polish Notation,MEDIUM,free,47.1,"Array, Math, Stack"
198,House Robber,MEDIUM,free,47.1,"Array, Dynamic Programming"
215,Kth Largest Element in an Array,MEDIUM,free,47.1,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
256,Paint House,MEDIUM,premium,47.1,"Array, Dynamic Programming"
297,Serialize and Deserialize Binary Tree,HARD,free,47.1,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
311,Sparse Matrix Multiplication,MEDIUM,premium,47.1,"Array, Hash Table, Matrix"
341,Flatten Nested List Iterator,MEDIUM,free,47.1,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
611,Valid Triangle Number,MEDIUM,free,47.1,"Array, Two Pointers, Binary Search, Greedy, Sorting"
671,Second Minimum Node In a Binary Tree,EASY,free,47.1,"Tree, Depth-First Search, Binary Tree"
744,Find Smallest Letter Greater Than Target,EASY,free,47.1,"Array, Binary Search"
489,Robot Room Cleaner,HARD,premium,47.1,"Backtracking, Interactive"
528,Random Pick with Weight,MEDIUM,free,47.1,"Array, Math, Binary Search, Prefix Sum, Randomized"
886,Possible Bipartition,MEDIUM,free,47.1,"Depth-First Search, Breadth-First Search, Union Find, Graph"
1188,Design Bounded Blocking Queue,MEDIUM,premium,47.1,Concurrency
1644,Lowest Common Ancestor of a Binary Tree II,MEDIUM,premium,47.1,"Tree, Depth-First Search, Binary Tree"
1,Two Sum,EASY,free,38.7,"Array, Hash Table"
3,Longest Substring Without Repeating Characters,MEDIUM,free,38.7,"Hash Table, String, Sliding Window"
12,Integer to Roman,MEDIUM,free,38.7,"Hash Table, Math, String"
13,Roman to Integer,EASY,free,38.7,"Hash Table, Math, String"
40,Combination Sum II,MEDIUM,free,38.7,"Array, Backtracking"
57,Insert Interval,MEDIUM,free,38.7,Array
62,Unique Paths,MEDIUM,free,38.7,"Math, Dynamic Programming, Combinatorics"
65,Valid Number,HARD,free,38.7,String
68,Text Justification,HARD,free,38.7,"Array, String, Simulation"
103,Binary Tree Zigzag Level Order Traversal,MEDIUM,free,38.7,"Tree, Breadth-First Search, Binary Tree"
139,Word Break,MEDIUM,free,38.7,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
155,Min Stack,MEDIUM,free,38.7,"Stack, Design"
170,Two Sum III - Data structure design,EASY,premium,38.7,"Array, Hash Table, Two Pointers, Design, Data Stream"
173,Binary Search Tree Iterator,MEDIUM,free,38.7,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator"
187,Repeated DNA Sequences,MEDIUM,free,38.7,"Hash Table, String, Bit Manipulation, Sliding Window, Rolling Hash, Hash Function"
210,Course Schedule II,MEDIUM,free,38.7,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
238,Product of Array Except Self,MEDIUM,free,38.7,"Array, Prefix Sum"
245,Shortest Word Distance III,MEDIUM,premium,38.7,"Array, String"
261,Graph Valid Tree,MEDIUM,premium,38.7,"Depth-First Search, Breadth-First Search, Union Find, Graph"
272,Closest Binary Search Tree Value II,HARD,premium,38.7,"Two Pointers, Stack, Tree, Depth-First Search, Binary Search Tree, Heap (Priority Queue), Binary Tree"
323,Number of Connected Components in an Undirected Graph,MEDIUM,premium,38.7,"Depth-First Search, Breadth-First Search, Union Find, Graph"
381,Insert Delete GetRandom O(1) - Duplicates allowed,HARD,free,38.7,"Array, Hash Table, Math, Design, Randomized"
464,Can I Win,MEDIUM,free,38.7,"Math, Dynamic Programming, Bit Manipulation, Memoization, Game Theory, Bitmask"
515,Find Largest Value in Each Tree Row,MEDIUM,free,38.7,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
633,Sum of Square Numbers,MEDIUM,free,38.7,"Math, Two Pointers, Binary Search"
636,Exclusive Time of Functions,MEDIUM,free,38.7,"Array, Stack"
647,Palindromic Substrings,MEDIUM,free,38.7,"Two Pointers, String, Dynamic Programming"
658,Find K Closest Elements,MEDIUM,free,38.7,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
730,Count Different Palindromic Subsequences,HARD,free,38.7,"String, Dynamic Programming"
742,Closest Leaf in a Binary Tree,MEDIUM,premium,38.7,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
706,Design HashMap,EASY,free,38.7,"Array, Hash Table, Linked List, Design, Hash Function"
921,Minimum Add to Make Parentheses Valid,MEDIUM,free,38.7,"String, Stack, Greedy"
946,Validate Stack Sequences,MEDIUM,free,38.7,"Array, Stack, Simulation"
1107,New Users Daily Count,MEDIUM,premium,38.7,Database
1127,User Purchase Platform,HARD,premium,38.7,Database
1148,Article Views I,EASY,free,38.7,Database
1149,Article Views II,MEDIUM,premium,38.7,Database
1343,Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,MEDIUM,free,38.7,"Array, Sliding Window"
1588,Sum of All Odd Length Subarrays,EASY,free,38.7,"Array, Math, Prefix Sum"
2040,Kth Smallest Product of Two Sorted Arrays,HARD,free,38.7,"Array, Binary Search"
2196,Create Binary Tree From Descriptions,MEDIUM,free,38.7,"Array, Hash Table, Tree, Binary Tree"
2276,Count Integers in Intervals,HARD,free,38.7,"Design, Segment Tree, Ordered Set"
2344,Minimum Deletions to Make Array Divisible,HARD,free,38.7,"Array, Math, Sorting, Heap (Priority Queue), Number Theory"
