id,title,difficulty,free/premium,frequency,tags
1366,Rank Teams by Votes,MEDIUM,free,100.0,"Array, Hash Table, String, Sorting, Counting"
353,Design Snake Game,MEDIUM,premium,89.6,"Array, Hash Table, Design, Queue, Simulation"
359,Logger Rate Limiter,EASY,premium,75.8,"Hash Table, Design, Data Stream"
2933,High-Access Employees,MEDIUM,free,72.4,"Array, Hash Table, String, Sorting"
432,All O`one Data Structure,HARD,free,69.7,"Hash Table, Linked List, Design, Doubly-Linked List"
2034,Stock Price Fluctuation ,MEDIUM,free,69.7,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set"
1166,Design File System,MEDIUM,premium,68.1,"Hash Table, String, Design, Trie"
2577,Minimum Time to Visit a Cell In a Grid,HARD,free,66.5,"Array, Breadth-First Search, Graph, Heap (Priority Queue), Matrix, Shortest Path"
56,Merge Intervals,MEDIUM,free,64.7,"Array, Sorting"
741,Cherry Pickup,HARD,free,64.7,"Array, Dynamic Programming, Matrix"
1307,Verbal Arithmetic Puzzle,HARD,free,64.7,"Array, Math, String, Backtracking"
2598,Smallest Missing Non-negative Integer After Operations,MEDIUM,free,64.7,"Array, Hash Table, Math, Greedy"
2959,Number of Possible Sets of Closing Branches,HARD,free,64.7,"Bit Manipulation, Graph, Heap (Priority Queue), Enumeration, Shortest Path"
2948,Make Lexicographically Smallest Array by Swapping Elements,MEDIUM,free,64.7,"Array, Union Find, Sorting"
2976,Minimum Cost to Convert String I,MEDIUM,free,64.7,"Array, String, Graph, Shortest Path"
2977,Minimum Cost to Convert String II,HARD,free,64.7,"Array, String, Dynamic Programming, Graph, Trie, Shortest Path"
2975,Maximum Square Area by Removing Fences From a Field,MEDIUM,free,64.7,"Array, Hash Table, Enumeration"
3000,Maximum Area of Longest Diagonal Rectangle,EASY,free,64.7,Array
3026,Maximum Good Subarray Sum,MEDIUM,free,64.7,"Array, Hash Table, Prefix Sum"
49,Group Anagrams,MEDIUM,free,62.7,"Array, Hash Table, String, Sorting"
1048,Longest String Chain,MEDIUM,free,62.7,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
229,Majority Element II,MEDIUM,free,54.9,"Array, Hash Table, Sorting, Counting"
300,Longest Increasing Subsequence,MEDIUM,free,54.9,"Array, Binary Search, Dynamic Programming"
911,Online Election,MEDIUM,free,51.5,"Array, Hash Table, Binary Search, Design"
2851,String Transformation,HARD,free,51.5,"Math, String, Dynamic Programming, String Matching"
12,Integer to Roman,MEDIUM,free,47.3,"Hash Table, Math, String"
68,Text Justification,HARD,free,47.3,"Array, String, Simulation"
121,Best Time to Buy and Sell Stock,EASY,free,47.3,"Array, Dynamic Programming"
1,Two Sum,EASY,free,41.8,"Array, Hash Table"
3,Longest Substring Without Repeating Characters,MEDIUM,free,41.8,"Hash Table, String, Sliding Window"
63,Unique Paths II,MEDIUM,free,41.8,"Array, Dynamic Programming, Matrix"
227,Basic Calculator II,MEDIUM,free,41.8,"Math, String, Stack"
348,Design Tic-Tac-Toe,MEDIUM,premium,41.8,"Array, Hash Table, Design, Matrix, Simulation"
362,Design Hit Counter,MEDIUM,premium,41.8,"Array, Binary Search, Design, Queue, Data Stream"
1220,Count Vowels Permutation,HARD,free,41.8,Dynamic Programming
1297,Maximum Number of Occurrences of a Substring,MEDIUM,free,41.8,"Hash Table, String, Sliding Window"
1598,Crawler Log Folder,EASY,free,41.8,"Array, String, Stack"
11,Container With Most Water,MEDIUM,free,34.3,"Array, Two Pointers, Greedy"
15,3Sum,MEDIUM,free,34.3,"Array, Two Pointers, Sorting"
42,Trapping Rain Water,HARD,free,34.3,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
45,Jump Game II,MEDIUM,free,34.3,"Array, Dynamic Programming, Greedy"
78,Subsets,MEDIUM,free,34.3,"Array, Backtracking, Bit Manipulation"
79,Word Search,MEDIUM,free,34.3,"Array, String, Backtracking, Matrix"
88,Merge Sorted Array,EASY,free,34.3,"Array, Two Pointers, Sorting"
146,LRU Cache,MEDIUM,free,34.3,"Hash Table, Linked List, Design, Doubly-Linked List"
187,Repeated DNA Sequences,MEDIUM,free,34.3,"Hash Table, String, Bit Manipulation, Sliding Window, Rolling Hash, Hash Function"
217,Contains Duplicate,EASY,free,34.3,"Array, Hash Table, Sorting"
224,Basic Calculator,HARD,free,34.3,"Math, String, Stack, Recursion"
233,Number of Digit One,HARD,free,34.3,"Math, Dynamic Programming, Recursion"
242,Valid Anagram,EASY,free,34.3,"Hash Table, String, Sorting"
253,Meeting Rooms II,MEDIUM,premium,34.3,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
322,Coin Change,MEDIUM,free,34.3,"Array, Dynamic Programming, Breadth-First Search"
373,Find K Pairs with Smallest Sums,MEDIUM,free,34.3,"Array, Heap (Priority Queue)"
410,Split Array Largest Sum,HARD,free,34.3,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
455,Assign Cookies,EASY,free,34.3,"Array, Two Pointers, Greedy, Sorting"
532,K-diff Pairs in an Array,MEDIUM,free,34.3,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
540,Single Element in a Sorted Array,MEDIUM,free,34.3,"Array, Binary Search"
658,Find K Closest Elements,MEDIUM,free,34.3,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
713,Subarray Product Less Than K,MEDIUM,free,34.3,"Array, Binary Search, Sliding Window, Prefix Sum"
735,Asteroid Collision,MEDIUM,free,34.3,"Array, Stack, Simulation"
757,Set Intersection Size At Least Two,HARD,free,34.3,"Array, Greedy, Sorting"
703,Kth Largest Element in a Stream,EASY,free,34.3,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream"
860,Lemonade Change,EASY,free,34.3,"Array, Greedy"
875,Koko Eating Bananas,MEDIUM,free,34.3,"Array, Binary Search"
881,Boats to Save People,MEDIUM,free,34.3,"Array, Two Pointers, Greedy, Sorting"
956,Tallest Billboard,HARD,free,34.3,"Array, Dynamic Programming"
1046,Last Stone Weight,EASY,free,34.3,"Array, Heap (Priority Queue)"
1268,Search Suggestions System,MEDIUM,free,34.3,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
2065,Maximum Path Quality of a Graph,HARD,free,34.3,"Array, Backtracking, Graph"
2235,Add Two Integers,EASY,free,34.3,Math
