id,title,difficulty,free/premium,frequency,tags
1326,Minimum Number of Taps to Open to Water a Garden,HARD,free,100.0,"Array, Dynamic Programming, Greedy"
210,Course Schedule II,MEDIUM,free,92.1,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
2467,Most Profitable Path in a Tree,MEDIUM,free,92.1,"Array, Tree, Depth-First Search, Breadth-First Search, Graph"
628,Maximum Product of Three Numbers,EASY,free,88.0,"Array, Math, Sorting"
695,Max Area of Island,MEDIUM,free,85.7,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
770,Basic Calculator IV,HARD,free,85.7,"Hash Table, Math, String, Stack, Recursion"
1698,Number of Distinct Substrings in a String,MEDIUM,premium,85.7,"String, Trie, Rolling Hash, Suffix Array, Hash Function"
2234,Maximum Total Beauty of the Gardens,HARD,free,85.7,"Array, Two Pointers, Binary Search, Greedy, Sorting"
2453,Destroy Sequential Targets,MEDIUM,free,85.7,"Array, Hash Table, Counting"
2489,Number of Substrings With Fixed Ratio,MEDIUM,premium,85.7,"Hash Table, Math, String, Prefix Sum"
2915,Length of the Longest Subsequence That Sums to Target,MEDIUM,free,85.7,"Array, Dynamic Programming"
3148,Maximum Difference Score in a Grid,MEDIUM,free,85.7,"Array, Dynamic Programming, Matrix"
3088,Make String Anti-palindrome,HARD,premium,85.7,"String, Greedy, Sorting, Counting Sort"
238,Product of Array Except Self,MEDIUM,free,83.1,"Array, Prefix Sum"
37,Sudoku Solver,HARD,free,80.2,"Array, Hash Table, Backtracking, Matrix"
994,Rotting Oranges,MEDIUM,free,80.2,"Array, Breadth-First Search, Matrix"
20,Valid Parentheses,EASY,free,77.0,"String, Stack"
146,LRU Cache,MEDIUM,free,77.0,"Hash Table, Linked List, Design, Doubly-Linked List"
1,Two Sum,EASY,free,68.8,"Array, Hash Table"
3,Longest Substring Without Repeating Characters,MEDIUM,free,68.8,"Hash Table, String, Sliding Window"
42,Trapping Rain Water,HARD,free,68.8,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
54,Spiral Matrix,MEDIUM,free,68.8,"Array, Matrix, Simulation"
359,Logger Rate Limiter,EASY,premium,68.8,"Hash Table, Design, Data Stream"
15,3Sum,MEDIUM,free,63.4,"Array, Two Pointers, Sorting"
22,Generate Parentheses,MEDIUM,free,63.4,"String, Dynamic Programming, Backtracking"
49,Group Anagrams,MEDIUM,free,63.4,"Array, Hash Table, String, Sorting"
139,Word Break,MEDIUM,free,63.4,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
155,Min Stack,MEDIUM,free,63.4,"Stack, Design"
300,Longest Increasing Subsequence,MEDIUM,free,63.4,"Array, Binary Search, Dynamic Programming"
347,Top K Frequent Elements,MEDIUM,free,63.4,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
475,Heaters,MEDIUM,free,63.4,"Array, Two Pointers, Binary Search, Sorting"
198,House Robber,MEDIUM,free,56.4,"Array, Dynamic Programming"
322,Coin Change,MEDIUM,free,56.4,"Array, Dynamic Programming, Breadth-First Search"
380,Insert Delete GetRandom O(1),MEDIUM,free,56.4,"Array, Hash Table, Math, Design, Randomized"
417,Pacific Atlantic Water Flow,MEDIUM,free,56.4,"Array, Depth-First Search, Breadth-First Search, Matrix"
456,132 Pattern,MEDIUM,free,56.4,"Array, Binary Search, Stack, Monotonic Stack, Ordered Set"
622,Design Circular Queue,MEDIUM,free,56.4,"Array, Linked List, Design, Queue"
876,Middle of the Linked List,EASY,free,56.4,"Linked List, Two Pointers"
929,Unique Email Addresses,EASY,free,56.4,"Array, Hash Table, String"
4,Median of Two Sorted Arrays,HARD,free,46.6,"Array, Binary Search, Divide and Conquer"
6,Zigzag Conversion,MEDIUM,free,46.6,String
21,Merge Two Sorted Lists,EASY,free,46.6,"Linked List, Recursion"
32,Longest Valid Parentheses,HARD,free,46.6,"String, Dynamic Programming, Stack"
33,Search in Rotated Sorted Array,MEDIUM,free,46.6,"Array, Binary Search"
34,Find First and Last Position of Element in Sorted Array,MEDIUM,free,46.6,"Array, Binary Search"
62,Unique Paths,MEDIUM,free,46.6,"Math, Dynamic Programming, Combinatorics"
70,Climbing Stairs,EASY,free,46.6,"Math, Dynamic Programming, Memoization"
85,Maximal Rectangle,HARD,free,46.6,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
88,Merge Sorted Array,EASY,free,46.6,"Array, Two Pointers, Sorting"
91,Decode Ways,MEDIUM,free,46.6,"String, Dynamic Programming"
102,Binary Tree Level Order Traversal,MEDIUM,free,46.6,"Tree, Breadth-First Search, Binary Tree"
121,Best Time to Buy and Sell Stock,EASY,free,46.6,"Array, Dynamic Programming"
200,Number of Islands,MEDIUM,free,46.6,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
207,Course Schedule,MEDIUM,free,46.6,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
234,Palindrome Linked List,EASY,free,46.6,"Linked List, Two Pointers, Stack, Recursion"
297,Serialize and Deserialize Binary Tree,HARD,free,46.6,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
354,Russian Doll Envelopes,HARD,free,46.6,"Array, Binary Search, Dynamic Programming, Sorting"
394,Decode String,MEDIUM,free,46.6,"String, Stack, Recursion"
438,Find All Anagrams in a String,MEDIUM,free,46.6,"Hash Table, String, Sliding Window"
621,Task Scheduler,MEDIUM,free,46.6,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
673,Number of Longest Increasing Subsequence,MEDIUM,free,46.6,"Array, Dynamic Programming, Binary Indexed Tree, Segment Tree"
698,Partition to K Equal Sum Subsets,MEDIUM,free,46.6,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
764,Largest Plus Sign,MEDIUM,free,46.6,"Array, Dynamic Programming"
983,Minimum Cost For Tickets,MEDIUM,free,46.6,"Array, Dynamic Programming"
1091,Shortest Path in Binary Matrix,MEDIUM,free,46.6,"Array, Breadth-First Search, Matrix"
1319,Number of Operations to Make Network Connected,MEDIUM,free,46.6,"Depth-First Search, Breadth-First Search, Union Find, Graph"
1537,Get the Maximum Score,HARD,free,46.6,"Array, Two Pointers, Dynamic Programming, Greedy"
