id,title,difficulty,free/premium,frequency,tags
1,Two Sum,EASY,free,100.0,"Array, Hash Table"
621,Task Scheduler,MEDIUM,free,93.2,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
146,LRU Cache,MEDIUM,free,92.7,"Hash Table, Linked List, Design, Doubly-Linked List"
88,Merge Sorted Array,EASY,free,90.6,"Array, Two Pointers, Sorting"
200,Number of Islands,MEDIUM,free,90.1,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
42,Trapping Rain Water,HARD,free,89.5,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
121,Best Time to Buy and Sell Stock,EASY,free,87.1,"Array, Dynamic Programming"
49,Group Anagrams,MEDIUM,free,83.6,"Array, Hash Table, String, Sorting"
207,Course Schedule,MEDIUM,free,83.6,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
767,Reorganize String,MEDIUM,free,83.6,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
3,Longest Substring Without Repeating Characters,MEDIUM,free,82.8,"Hash Table, String, Sliding Window"
1768,Merge Strings Alternately,EASY,free,82.0,"Two Pointers, String"
347,Top K Frequent Elements,MEDIUM,free,78.5,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
3371,Identify the Largest Outlier in an Array,MEDIUM,free,78.5,"Array, Hash Table, Counting, Enumeration"
127,Word Ladder,HARD,free,77.6,"Hash Table, String, Breadth-First Search"
55,Jump Game,MEDIUM,free,76.5,"Array, Dynamic Programming, Greedy"
138,Copy List with Random Pointer,MEDIUM,free,74.4,"Hash Table, Linked List"
2,Add Two Numbers,MEDIUM,free,73.2,"Linked List, Math, Recursion"
5,Longest Palindromic Substring,MEDIUM,free,72.0,"Two Pointers, String, Dynamic Programming"
20,Valid Parentheses,EASY,free,70.7,"String, Stack"
875,Koko Eating Bananas,MEDIUM,free,70.7,"Array, Binary Search"
994,Rotting Oranges,MEDIUM,free,70.7,"Array, Breadth-First Search, Matrix"
14,Longest Common Prefix,EASY,free,69.3,"String, Trie"
253,Meeting Rooms II,MEDIUM,premium,69.3,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
9,Palindrome Number,EASY,free,67.9,Math
15,3Sum,MEDIUM,free,67.9,"Array, Two Pointers, Sorting"
22,Generate Parentheses,MEDIUM,free,67.9,"String, Dynamic Programming, Backtracking"
56,Merge Intervals,MEDIUM,free,67.9,"Array, Sorting"
215,Kth Largest Element in an Array,MEDIUM,free,67.9,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
236,Lowest Common Ancestor of a Binary Tree,MEDIUM,free,67.9,"Tree, Depth-First Search, Binary Tree"
1757,Recyclable and Low Fat Products,EASY,free,67.9,Database
2667,Create Hello World Function,EASY,free,67.9,
53,Maximum Subarray,MEDIUM,free,66.3,"Array, Divide and Conquer, Dynamic Programming"
70,Climbing Stairs,EASY,free,66.3,"Math, Dynamic Programming, Memoization"
210,Course Schedule II,MEDIUM,free,66.3,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
227,Basic Calculator II,MEDIUM,free,66.3,"Math, String, Stack"
4,Median of Two Sorted Arrays,HARD,free,64.7,"Array, Binary Search, Divide and Conquer"
23,Merge k Sorted Lists,HARD,free,64.7,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
54,Spiral Matrix,MEDIUM,free,62.8,"Array, Matrix, Simulation"
79,Word Search,MEDIUM,free,62.8,"Array, String, Backtracking, Matrix"
560,Subarray Sum Equals K,MEDIUM,free,62.8,"Array, Hash Table, Prefix Sum"
1650,Lowest Common Ancestor of a Binary Tree III,MEDIUM,premium,62.8,"Hash Table, Two Pointers, Tree, Binary Tree"
