id,title,difficulty,free/premium,frequency,tags
6,Zigzag Conversion,MEDIUM,free,100.0,String
2586,Count the Number of Vowel Strings in Range,EASY,free,79.0,"Array, String, Counting"
2559,Count Vowel Strings in Ranges,MEDIUM,free,79.0,"Array, String, Prefix Sum"
1010,Pairs of Songs With Total Durations Divisible by 60,MEDIUM,free,77.1,"Array, Hash Table, Counting"
2056,Number of Valid Move Combinations On Chessboard,HARD,free,77.1,"Array, String, Backtracking, Simulation"
2183,Count Array Pairs Divisible by K,HARD,free,77.1,"Array, Math, Number Theory"
2380,Time Needed to Rearrange a Binary String,MEDIUM,free,77.1,"String, Dynamic Programming, Simulation"
1229,Meeting Scheduler,MEDIUM,premium,75.0,"Array, Two Pointers, Sorting"
1473,Paint House III,HARD,free,75.0,"Array, Dynamic Programming"
1589,Maximum Sum Obtained of Any Permutation,MEDIUM,free,75.0,"Array, Greedy, Sorting, Prefix Sum"
1969,Minimum Non-Zero Product of the Array Elements,MEDIUM,free,75.0,"Math, Greedy, Recursion"
1999,Smallest Greater Multiple Made of Two Digits,MEDIUM,premium,75.0,"Math, Enumeration"
2366,Minimum Replacements to Sort the Array,HARD,free,75.0,"Array, Math, Greedy"
2554,Maximum Number of Integers to Choose From a Range I,MEDIUM,free,75.0,"Array, Hash Table, Binary Search, Greedy, Sorting"
2524,Maximum Frequency Score of a Subarray,HARD,premium,75.0,"Array, Hash Table, Math, Stack, Sliding Window"
2557,Maximum Number of Integers to Choose From a Range II,MEDIUM,premium,75.0,"Array, Binary Search, Greedy, Sorting"
1,Two Sum,EASY,free,72.7,"Array, Hash Table"
49,Group Anagrams,MEDIUM,free,70.1,"Array, Hash Table, String, Sorting"
121,Best Time to Buy and Sell Stock,EASY,free,67.2,"Array, Dynamic Programming"
146,LRU Cache,MEDIUM,free,67.2,"Hash Table, Linked List, Design, Doubly-Linked List"
200,Number of Islands,MEDIUM,free,67.2,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
88,Merge Sorted Array,EASY,free,63.8,"Array, Two Pointers, Sorting"
3,Longest Substring Without Repeating Characters,MEDIUM,free,59.8,"Hash Table, String, Sliding Window"
42,Trapping Rain Water,HARD,free,59.8,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
347,Top K Frequent Elements,MEDIUM,free,59.8,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
560,Subarray Sum Equals K,MEDIUM,free,59.8,"Array, Hash Table, Prefix Sum"
767,Reorganize String,MEDIUM,free,59.8,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
1200,Minimum Absolute Difference,EASY,free,59.8,"Array, Sorting"
1283,Find the Smallest Divisor Given a Threshold,MEDIUM,free,59.8,"Array, Binary Search"
34,Find First and Last Position of Element in Sorted Array,MEDIUM,free,54.9,"Array, Binary Search"
56,Merge Intervals,MEDIUM,free,54.9,"Array, Sorting"
79,Word Search,MEDIUM,free,54.9,"Array, String, Backtracking, Matrix"
153,Find Minimum in Rotated Sorted Array,MEDIUM,free,54.9,"Array, Binary Search"
238,Product of Array Except Self,MEDIUM,free,54.9,"Array, Prefix Sum"
300,Longest Increasing Subsequence,MEDIUM,free,54.9,"Array, Binary Search, Dynamic Programming"
387,First Unique Character in a String,EASY,free,54.9,"Hash Table, String, Queue, Counting"
2062,Count Vowel Substrings of a String,EASY,free,54.9,"Hash Table, String"
2402,Meeting Rooms III,HARD,free,54.9,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
4,Median of Two Sorted Arrays,HARD,free,48.6,"Array, Binary Search, Divide and Conquer"
20,Valid Parentheses,EASY,free,48.6,"String, Stack"
48,Rotate Image,MEDIUM,free,48.6,"Array, Math, Matrix"
75,Sort Colors,MEDIUM,free,48.6,"Array, Two Pointers, Sorting"
152,Maximum Product Subarray,MEDIUM,free,48.6,"Array, Dynamic Programming"
155,Min Stack,MEDIUM,free,48.6,"Stack, Design"
206,Reverse Linked List,EASY,free,48.6,"Linked List, Recursion"
212,Word Search II,HARD,free,48.6,"Array, String, Backtracking, Trie, Matrix"
713,Subarray Product Less Than K,MEDIUM,free,48.6,"Array, Binary Search, Sliding Window, Prefix Sum"
528,Random Pick with Weight,MEDIUM,free,48.6,"Array, Math, Binary Search, Prefix Sum, Randomized"
895,Maximum Frequency Stack,HARD,free,48.6,"Hash Table, Stack, Design, Ordered Set"
5,Longest Palindromic Substring,MEDIUM,free,39.8,"Two Pointers, String, Dynamic Programming"
11,Container With Most Water,MEDIUM,free,39.8,"Array, Two Pointers, Greedy"
15,3Sum,MEDIUM,free,39.8,"Array, Two Pointers, Sorting"
19,Remove Nth Node From End of List,MEDIUM,free,39.8,"Linked List, Two Pointers"
33,Search in Rotated Sorted Array,MEDIUM,free,39.8,"Array, Binary Search"
38,Count and Say,MEDIUM,free,39.8,String
39,Combination Sum,MEDIUM,free,39.8,"Array, Backtracking"
41,First Missing Positive,HARD,free,39.8,"Array, Hash Table"
45,Jump Game II,MEDIUM,free,39.8,"Array, Dynamic Programming, Greedy"
53,Maximum Subarray,MEDIUM,free,39.8,"Array, Divide and Conquer, Dynamic Programming"
68,Text Justification,HARD,free,39.8,"Array, String, Simulation"
76,Minimum Window Substring,HARD,free,39.8,"Hash Table, String, Sliding Window"
84,Largest Rectangle in Histogram,HARD,free,39.8,"Array, Stack, Monotonic Stack"
125,Valid Palindrome,EASY,free,39.8,"Two Pointers, String"
162,Find Peak Element,MEDIUM,free,39.8,"Array, Binary Search"
198,House Robber,MEDIUM,free,39.8,"Array, Dynamic Programming"
215,Kth Largest Element in an Array,MEDIUM,free,39.8,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
236,Lowest Common Ancestor of a Binary Tree,MEDIUM,free,39.8,"Tree, Depth-First Search, Binary Tree"
237,Delete Node in a Linked List,MEDIUM,free,39.8,Linked List
242,Valid Anagram,EASY,free,39.8,"Hash Table, String, Sorting"
322,Coin Change,MEDIUM,free,39.8,"Array, Dynamic Programming, Breadth-First Search"
344,Reverse String,EASY,free,39.8,"Two Pointers, String"
349,Intersection of Two Arrays,EASY,free,39.8,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
355,Design Twitter,MEDIUM,free,39.8,"Hash Table, Linked List, Design, Heap (Priority Queue)"
557,Reverse Words in a String III,EASY,free,39.8,"Two Pointers, String"
658,Find K Closest Elements,MEDIUM,free,39.8,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
851,Loud and Rich,MEDIUM,free,39.8,"Array, Depth-First Search, Graph, Topological Sort"
863,All Nodes Distance K in Binary Tree,MEDIUM,free,39.8,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
945,Minimum Increment to Make Array Unique,MEDIUM,free,39.8,"Array, Greedy, Sorting, Counting"
974,Subarray Sums Divisible by K,MEDIUM,free,39.8,"Array, Hash Table, Prefix Sum"
1046,Last Stone Weight,EASY,free,39.8,"Array, Heap (Priority Queue)"
1328,Break a Palindrome,MEDIUM,free,39.8,"String, Greedy"
1169,Invalid Transactions,MEDIUM,free,39.8,"Array, Hash Table, String, Sorting"
1358,Number of Substrings Containing All Three Characters,MEDIUM,free,39.8,"Hash Table, String, Sliding Window"
1669,Merge In Between Linked Lists,MEDIUM,free,39.8,Linked List
1671,Minimum Number of Removals to Make Mountain Array,HARD,free,39.8,"Array, Binary Search, Dynamic Programming, Greedy"
1802,Maximum Value at a Given Index in a Bounded Array,MEDIUM,free,39.8,"Binary Search, Greedy"
1854,Maximum Population Year,EASY,free,39.8,"Array, Counting, Prefix Sum"
1882,Process Tasks Using Servers,MEDIUM,free,39.8,"Array, Heap (Priority Queue)"
1963,Minimum Number of Swaps to Make the String Balanced,MEDIUM,free,39.8,"Two Pointers, String, Stack, Greedy"
2134,Minimum Swaps to Group All 1's Together II,MEDIUM,free,39.8,"Array, Sliding Window"
2385,Amount of Time for Binary Tree to Be Infected,MEDIUM,free,39.8,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
2491,Divide Players Into Teams of Equal Skill,MEDIUM,free,39.8,"Array, Hash Table, Two Pointers, Sorting"
