id,title,difficulty,free/premium,frequency,tags
286,Walls and Gates,MEDIUM,premium,100.0,"Array, Breadth-First Search, Matrix"
124,Binary Tree Maximum Path Sum,HARD,free,99.6,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
1235,Maximum Profit in Job Scheduling,HARD,free,92.8,"Array, Binary Search, Dynamic Programming, Sorting"
329,Longest Increasing Path in a Matrix,HARD,free,89.8,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
826,Most Profit Assigning Work,MEDIUM,free,83.5,"Array, Two Pointers, Binary Search, Greedy, Sorting"
875,Koko Eating Bananas,MEDIUM,free,81.5,"Array, Binary Search"
1790,Check if One String Swap Can Make Strings Equal,EASY,free,80.3,"Hash Table, String, Counting"
1166,Design File System,MEDIUM,premium,79.7,"Hash Table, String, Design, Trie"
658,Find K Closest Elements,MEDIUM,free,74.9,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
1347,Minimum Number of Steps to Make Two Strings Anagram,MEDIUM,free,74.1,"Hash Table, String, Counting"
1268,Search Suggestions System,MEDIUM,free,72.4,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
859,Buddy Strings,EASY,free,71.5,"Hash Table, String"
1779,Find Nearest Point That Has the Same X or Y Coordinate,EASY,free,71.5,Array
1834,Single-Threaded CPU,MEDIUM,free,71.5,"Array, Sorting, Heap (Priority Queue)"
772,Basic Calculator III,HARD,premium,69.5,"Math, String, Stack, Recursion"
1905,Count Sub Islands,MEDIUM,free,69.5,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
735,Asteroid Collision,MEDIUM,free,68.4,"Array, Stack, Simulation"
556,Next Greater Element III,MEDIUM,free,67.3,"Math, Two Pointers, String"
827,Making A Large Island,HARD,free,66.0,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
317,Shortest Distance from All Buildings,HARD,premium,64.7,"Array, Breadth-First Search, Matrix"
297,Serialize and Deserialize Binary Tree,HARD,free,63.3,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
1359,Count All Valid Pickup and Delivery Options,HARD,free,63.3,"Math, Dynamic Programming, Combinatorics"
210,Course Schedule II,MEDIUM,free,60.2,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
986,Interval List Intersections,MEDIUM,free,60.2,"Array, Two Pointers"
