id,title,difficulty,free/premium,frequency,tags
362,Design Hit Counter,MEDIUM,premium,100.0,"Array, Binary Search, Design, Queue, Data Stream"
751,IP to CIDR,MEDIUM,premium,91.7,"String, Bit Manipulation"
198,House Robber,MEDIUM,free,89.5,"Array, Dynamic Programming"
213,House Robber II,MEDIUM,free,85.1,"Array, Dynamic Programming"
348,Design Tic-Tac-Toe,MEDIUM,premium,85.1,"Array, Hash Table, Design, Matrix, Simulation"
981,Time Based Key-Value Store,MEDIUM,free,84.1,"Hash Table, String, Binary Search, Design"
742,Closest Leaf in a Binary Tree,MEDIUM,premium,71.6,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
1146,Snapshot Array,MEDIUM,free,71.6,"Array, Hash Table, Binary Search, Design"
2131,Longest Palindrome by Concatenating Two Letter Words,MEDIUM,free,71.6,"Array, Hash Table, String, Greedy, Counting"
632,Smallest Range Covering Elements from K Lists,HARD,free,64.7,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
1242,Web Crawler Multithreaded,MEDIUM,premium,64.7,"Depth-First Search, Breadth-First Search, Concurrency"
2817,Minimum Absolute Difference Between Elements With Constraint,MEDIUM,free,64.7,"Array, Binary Search, Ordered Set"
2468,Split Message Based on Limit,HARD,free,61.7,"String, Binary Search"
68,Text Justification,HARD,free,58.2,"Array, String, Simulation"
2251,Number of Flowers in Full Bloom,HARD,free,58.2,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
2096,Step-By-Step Directions From a Binary Tree Node to Another,MEDIUM,free,53.8,"String, Tree, Depth-First Search, Binary Tree"
614,Second Degree Follower,MEDIUM,premium,48.3,Database
2276,Count Integers in Intervals,HARD,free,48.3,"Design, Segment Tree, Ordered Set"
41,First Missing Positive,HARD,free,40.5,"Array, Hash Table"
54,Spiral Matrix,MEDIUM,free,40.5,"Array, Matrix, Simulation"
56,Merge Intervals,MEDIUM,free,40.5,"Array, Sorting"
210,Course Schedule II,MEDIUM,free,40.5,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
352,Data Stream as Disjoint Intervals,HARD,free,40.5,"Binary Search, Design, Ordered Set"
721,Accounts Merge,MEDIUM,free,40.5,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
845,Longest Mountain in Array,MEDIUM,free,40.5,"Array, Two Pointers, Dynamic Programming, Enumeration"
933,Number of Recent Calls,EASY,free,40.5,"Design, Queue, Data Stream"
1244,Design A Leaderboard,MEDIUM,premium,40.5,"Hash Table, Design, Sorting"
1236,Web Crawler,MEDIUM,premium,40.5,"String, Depth-First Search, Breadth-First Search, Interactive"
1235,Maximum Profit in Job Scheduling,HARD,free,40.5,"Array, Binary Search, Dynamic Programming, Sorting"
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,MEDIUM,free,40.5,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
1861,Rotating the Box,MEDIUM,free,40.5,"Array, Two Pointers, Matrix"
1865,Finding Pairs With a Certain Sum,MEDIUM,free,40.5,"Array, Hash Table, Design"
3043,Find the Length of the Longest Common Prefix,MEDIUM,free,40.5,"Array, Hash Table, String, Trie"
