id,title,difficulty,free/premium,frequency,tags
1,Two Sum,EASY,free,100.0,"Array, Hash Table"
4,Median of Two Sorted Arrays,HARD,free,100.0,"Array, Binary Search, Divide and Conquer"
200,Number of Islands,MEDIUM,free,100.0,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
2895,Minimum Processing Time,MEDIUM,free,100.0,"Array, Greedy, Sorting"
3,Longest Substring Without Repeating Characters,MEDIUM,free,92.9,"Hash Table, String, Sliding Window"
12,Integer to Roman,MEDIUM,free,92.9,"Hash Table, Math, String"
169,Majority Element,EASY,free,92.9,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
206,Reverse Linked List,EASY,free,92.9,"Linked List, Recursion"
2,Add Two Numbers,MEDIUM,free,83.7,"Linked List, Math, Recursion"
15,3Sum,MEDIUM,free,83.7,"Array, Two Pointers, Sorting"
547,Number of Provinces,MEDIUM,free,83.7,"Depth-First Search, Breadth-First Search, Union Find, Graph"
528,Random Pick with Weight,MEDIUM,free,83.7,"Array, Math, Binary Search, Prefix Sum, Randomized"
2406,Divide Intervals Into Minimum Number of Groups,MEDIUM,free,83.7,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
2506,Count Pairs Of Similar Strings,EASY,free,83.7,"Array, Hash Table, String, Bit Manipulation, Counting"
7,Reverse Integer,MEDIUM,free,70.9,Math
11,Container With Most Water,MEDIUM,free,70.9,"Array, Two Pointers, Greedy"
13,Roman to Integer,EASY,free,70.9,"Hash Table, Math, String"
22,Generate Parentheses,MEDIUM,free,70.9,"String, Dynamic Programming, Backtracking"
25,Reverse Nodes in k-Group,HARD,free,70.9,"Linked List, Recursion"
31,Next Permutation,MEDIUM,free,70.9,"Array, Two Pointers"
49,Group Anagrams,MEDIUM,free,70.9,"Array, Hash Table, String, Sorting"
55,Jump Game,MEDIUM,free,70.9,"Array, Dynamic Programming, Greedy"
70,Climbing Stairs,EASY,free,70.9,"Math, Dynamic Programming, Memoization"
83,Remove Duplicates from Sorted List,EASY,free,70.9,Linked List
121,Best Time to Buy and Sell Stock,EASY,free,70.9,"Array, Dynamic Programming"
134,Gas Station,MEDIUM,free,70.9,"Array, Greedy"
195,Tenth Line,EASY,free,70.9,Shell
198,House Robber,MEDIUM,free,70.9,"Array, Dynamic Programming"
237,Delete Node in a Linked List,MEDIUM,free,70.9,Linked List
253,Meeting Rooms II,MEDIUM,premium,70.9,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
258,Add Digits,EASY,free,70.9,"Math, Simulation, Number Theory"
268,Missing Number,EASY,free,70.9,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
292,Nim Game,EASY,free,70.9,"Math, Brainteaser, Game Theory"
322,Coin Change,MEDIUM,free,70.9,"Array, Dynamic Programming, Breadth-First Search"
703,Kth Largest Element in a Stream,EASY,free,70.9,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream"
793,Preimage Size of Factorial Zeroes Function,HARD,free,70.9,"Math, Binary Search"
795,Number of Subarrays with Bounded Maximum,MEDIUM,free,70.9,"Array, Two Pointers"
908,Smallest Range I,EASY,free,70.9,"Array, Math"
910,Smallest Range II,MEDIUM,free,70.9,"Array, Math, Greedy, Sorting"
1190,Reverse Substrings Between Each Pair of Parentheses,MEDIUM,free,70.9,"String, Stack"
1916,Count Ways to Build Rooms in an Ant Colony,HARD,free,70.9,"Math, Dynamic Programming, Tree, Graph, Topological Sort, Combinatorics"
2055,Plates Between Candles,MEDIUM,free,70.9,"Array, String, Binary Search, Prefix Sum"
2143,Choose Numbers From Two Arrays in Range,HARD,premium,70.9,"Array, Dynamic Programming"
2328,Number of Increasing Paths in a Grid,HARD,free,70.9,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
2429,Minimize XOR,MEDIUM,free,70.9,"Greedy, Bit Manipulation"
2422,Merge Operations to Turn Array Into a Palindrome,MEDIUM,premium,70.9,"Array, Two Pointers, Greedy"
2892,Minimizing Array After Replacing Pairs With Their Product,MEDIUM,premium,70.9,"Array, Dynamic Programming, Greedy"
2962,Count Subarrays Where Max Element Appears at Least K Times,MEDIUM,free,70.9,"Array, Sliding Window"
3173,Bitwise OR of Adjacent Elements,EASY,premium,70.9,"Array, Bit Manipulation"
