id,title,difficulty,free/premium,frequency,tags
1249,Minimum Remove to Make Valid Parentheses,MEDIUM,free,100.0,"String, Stack"
314,Binary Tree Vertical Order Traversal,MEDIUM,premium,98.4,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
680,Valid Palindrome II,EASY,free,96.7,"Two Pointers, String, Greedy"
227,Basic Calculator II,MEDIUM,free,94.3,"Math, String, Stack"
408,Valid Word Abbreviation,EASY,premium,93.8,"Two Pointers, String"
215,Kth Largest Element in an Array,MEDIUM,free,91.6,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
1650,Lowest Common Ancestor of a Binary Tree III,MEDIUM,premium,91.6,"Hash Table, Two Pointers, Tree, Binary Tree"
88,Merge Sorted Array,EASY,free,89.2,"Array, Two Pointers, Sorting"
50,"Pow(x, n)",MEDIUM,free,87.2,"Math, Recursion"
339,Nested List Weight Sum,MEDIUM,premium,87.2,"Depth-First Search, Breadth-First Search"
528,Random Pick with Weight,MEDIUM,free,87.2,"Array, Math, Binary Search, Prefix Sum, Randomized"
236,Lowest Common Ancestor of a Binary Tree,MEDIUM,free,84.2,"Tree, Depth-First Search, Binary Tree"
938,Range Sum of BST,EASY,free,83.4,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
162,Find Peak Element,MEDIUM,free,82.5,"Array, Binary Search"
71,Simplify Path,MEDIUM,free,81.6,"String, Stack"
199,Binary Tree Right Side View,MEDIUM,free,81.6,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
560,Subarray Sum Equals K,MEDIUM,free,81.6,"Array, Hash Table, Prefix Sum"
543,Diameter of Binary Tree,EASY,free,78.7,"Tree, Depth-First Search, Binary Tree"
125,Valid Palindrome,EASY,free,76.6,"Two Pointers, String"
1570,Dot Product of Two Sparse Vectors,MEDIUM,premium,76.6,"Array, Hash Table, Two Pointers, Design"
1,Two Sum,EASY,free,75.4,"Array, Hash Table"
1091,Shortest Path in Binary Matrix,MEDIUM,free,74.1,"Array, Breadth-First Search, Matrix"
146,LRU Cache,MEDIUM,free,72.8,"Hash Table, Linked List, Design, Doubly-Linked List"
347,Top K Frequent Elements,MEDIUM,free,72.8,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
791,Custom Sort String,MEDIUM,free,72.8,"Hash Table, String, Sorting"
426,Convert Binary Search Tree to Sorted Doubly Linked List,MEDIUM,premium,71.4,"Linked List, Stack, Tree, Depth-First Search, Binary Search Tree, Binary Tree, Doubly-Linked List"
56,Merge Intervals,MEDIUM,free,69.9,"Array, Sorting"
1762,Buildings With an Ocean View,MEDIUM,premium,69.9,"Array, Stack, Monotonic Stack"
23,Merge k Sorted Lists,HARD,free,68.3,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
863,All Nodes Distance K in Binary Tree,MEDIUM,free,68.3,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
973,K Closest Points to Origin,MEDIUM,free,68.3,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect"
129,Sum Root to Leaf Numbers,MEDIUM,free,66.6,"Tree, Depth-First Search, Binary Tree"
346,Moving Average from Data Stream,EASY,premium,66.6,"Array, Design, Queue, Data Stream"
921,Minimum Add to Make Parentheses Valid,MEDIUM,free,66.6,"String, Stack, Greedy"
986,Interval List Intersections,MEDIUM,free,64.7,"Array, Two Pointers"
2,Add Two Numbers,MEDIUM,free,62.7,"Linked List, Math, Recursion"
31,Next Permutation,MEDIUM,free,62.7,"Array, Two Pointers"
138,Copy List with Random Pointer,MEDIUM,free,62.7,"Hash Table, Linked List"
1004,Max Consecutive Ones III,MEDIUM,free,62.7,"Array, Binary Search, Sliding Window, Prefix Sum"
65,Valid Number,HARD,free,60.4,String
766,Toeplitz Matrix,EASY,free,60.4,"Array, Matrix"
827,Making A Large Island,HARD,free,60.4,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
958,Check Completeness of a Binary Tree,MEDIUM,free,60.4,"Tree, Breadth-First Search, Binary Tree"
1216,Valid Palindrome III,HARD,premium,60.4,"String, Dynamic Programming"
14,Longest Common Prefix,EASY,free,57.8,"String, Trie"
76,Minimum Window Substring,HARD,free,57.8,"Hash Table, String, Sliding Window"
133,Clone Graph,MEDIUM,free,57.8,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
415,Add Strings,EASY,free,57.8,"Math, String, Simulation"
116,Populating Next Right Pointers in Each Node,MEDIUM,free,55.0,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
163,Missing Ranges,EASY,premium,55.0,Array
270,Closest Binary Search Tree Value,EASY,premium,55.0,"Binary Search, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
282,Expression Add Operators,HARD,free,55.0,"Math, String, Backtracking"
670,Maximum Swap,MEDIUM,free,55.0,"Math, Greedy"
721,Accounts Merge,MEDIUM,free,55.0,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
708,Insert into a Sorted Circular Linked List,MEDIUM,premium,55.0,Linked List
1047,Remove All Adjacent Duplicates In String,EASY,free,55.0,"String, Stack"
1539,Kth Missing Positive Number,EASY,free,55.0,"Array, Binary Search"
1757,Recyclable and Low Fat Products,EASY,free,55.0,Database
