questionFrontendId,title,difficulty,free/premium,frequency,topicTags
1,Two Sum,EASY,free,100.0,"Array, Hash Table"
88,Merge Sorted Array,EASY,free,87.6,"Array, Two Pointers, Sorting"
1526,Minimum Number of Increments on Subarrays to Form a Target Array,HARD,free,85.7,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack"
2667,Create Hello World Function,EASY,free,75.4,
1768,Merge Strings Alternately,EASY,free,73.7,"Two Pointers, String"
2,Add Two Numbers,MEDIUM,free,69.8,"Linked List, Math, Recursion"
53,Maximum Subarray,MEDIUM,free,65.0,"Array, Divide and Conquer, Dynamic Programming"
253,Meeting Rooms II,MEDIUM,premium,62.1,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
11,Container With Most Water,MEDIUM,free,58.8,"Array, Two Pointers, Greedy"
13,Roman to Integer,EASY,free,58.8,"Hash Table, Math, String"
70,Climbing Stairs,EASY,free,58.8,"Math, Dynamic Programming, Memoization"
128,Longest Consecutive Sequence,MEDIUM,free,58.8,"Array, Hash Table, Union Find"
169,Majority Element,EASY,free,58.8,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
1757,Recyclable and Low Fat Products,EASY,free,58.8,Database
2235,Add Two Integers,EASY,free,58.8,Math
14,Longest Common Prefix,EASY,free,55.0,"String, Trie"
49,Group Anagrams,MEDIUM,free,55.0,"Array, Hash Table, String, Sorting"
84,Largest Rectangle in Histogram,HARD,free,55.0,"Array, Stack, Monotonic Stack"
121,Best Time to Buy and Sell Stock,EASY,free,55.0,"Array, Dynamic Programming"
200,Number of Islands,MEDIUM,free,55.0,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
206,Reverse Linked List,EASY,free,55.0,"Linked List, Recursion"
214,Shortest Palindrome,HARD,free,55.0,"String, Rolling Hash, String Matching, Hash Function"
2663,Lexicographically Smallest Beautiful String,HARD,free,55.0,"String, Greedy"
3,Longest Substring Without Repeating Characters,MEDIUM,free,50.2,"Hash Table, String, Sliding Window"
